snapshot,grid_power
0,290.0
1,295.0
2,290.0
3,295.0
4,290.0
5,290.0
6,290.0
7,290.0
8,290.0
9,290.0
10,290.0
11,290.0
12,290.0
13,290.0
14,300.0
15,285.0
16,290.0
17,290.0
18,285.0
19,295.0
20,305.0
21,320.0
22,345.0
23,345.0
24,355.0
25,335.0
26,360.0
27,345.0
28,350.0
29,345.0
30,345.0
31,360.0
32,350.0
33,345.0
34,360.0
35,370.0
36,250.325
37,235.325
38,240.325
39,240.325
40,77.92499999999995
41,57.924999999999955
42,57.924999999999955
43,52.924999999999955
44,-0.0
45,-0.0
46,-0.0
47,-0.0
48,-0.0
49,-0.0
50,-0.0
51,-0.0
52,-0.0
53,-0.0
54,-0.0
55,-0.0
56,-0.0
57,-0.0
58,-0.0
59,-0.0
60,-0.0
61,-0.0
62,-0.0
63,-0.0
64,-0.0
65,-0.0
66,-0.0
67,-0.0
68,-0.0
69,-0.0
70,-0.0
71,-0.0
72,223.46438600004058
73,345.0
74,345.0
75,340.0
76,335.0
77,340.0
78,345.0
79,330.0
80,320.0
81,320.0
82,320.0
83,315.0
84,310.0
85,305.0
86,305.0
87,305.0
88,295.0
89,295.0
90,290.0
91,295.0
92,290.0
93,290.0
94,290.0
95,290.0
96,295.0
97,285.0
98,295.0
99,285.0
100,290.0
101,290.0
102,290.0
103,295.0
104,290.0
105,290.0
106,290.0
107,290.0
108,285.0
109,290.0
110,290.0
111,300.0
112,290.0
113,285.0
114,290.0
115,300.0
116,305.0
117,320.0
118,375.0
119,380.0
120,400.0
121,385.0
122,385.0
123,385.0
124,370.0
125,385.0
126,390.0
127,380.0
128,373.6
129,378.6
130,373.6
131,393.6
132,284.325
133,279.325
134,289.325
135,294.325
136,140.675
137,140.675
138,135.675
139,125.67500000000001
140,43.025000000000034
141,38.025000000000034
142,53.025000000000034
143,43.025000000000034
144,-0.0
145,-0.0
146,-0.0
147,-0.0
148,-0.0
149,-0.0
150,-0.0
151,-0.0
152,-0.0
153,-0.0
154,-0.0
155,-0.0
156,-0.0
157,-0.0
158,-0.0
159,-0.0
160,-0.0
161,-0.0
162,-0.0
163,274.64867240002275
164,350.0
165,355.0
166,350.0
167,350.0
168,345.0
169,350.0
170,350.0
171,350.0
172,350.0
173,345.0
174,340.0
175,335.0
176,325.0
177,325.0
178,325.0
179,325.0
180,320.0
181,320.0
182,315.0
183,315.0
184,300.0
185,295.0
186,295.0
187,295.0
188,290.0
189,295.0
190,290.0
191,290.0
192,290.0
193,290.0
194,290.0
195,290.0
196,285.0
197,285.0
198,285.0
199,290.0
200,290.0
201,285.0
202,285.0
203,295.0
204,285.0
205,290.0
206,285.0
207,285.0
208,285.0
209,295.0
210,290.0
211,290.0
212,310.0
213,320.0
214,360.0
215,350.0
216,355.0
217,370.0
218,360.0
219,365.0
220,375.0
221,375.0
222,370.0
223,360.0
224,350.0
225,350.0
226,355.0
227,370.0
228,322.2
229,327.2
230,327.2
231,312.2
232,302.25
233,302.25
234,287.25
235,307.25
236,346.625
237,366.625
238,356.625
239,326.625
240,303.125
241,278.125
242,288.125
243,303.125
244,313.225
245,313.225
246,313.225
247,313.225
248,335.575
249,340.575
250,340.575
251,330.575
252,355.0
253,350.0
254,345.0
255,350.0
256,350.0
257,345.0
258,355.0
259,350.0
260,355.0
261,360.0
262,360.0
263,355.0
264,350.0
265,350.0
266,355.0
267,350.0
268,355.0
269,345.0
270,345.0
271,345.0
272,330.0
273,335.0
274,325.0
275,335.0
276,320.0
277,320.0
278,320.0
279,320.0
280,305.0
281,300.0
282,300.0
283,295.0
284,300.0
285,300.0
286,295.0
287,300.0
288,295.0
289,300.0
290,300.0
291,300.0
292,295.0
293,300.0
294,300.0
295,300.0
296,300.0
297,295.0
298,300.0
299,295.0
300,300.0
301,295.0
302,300.0
303,300.0
304,295.0
305,310.0
306,300.0
307,305.0
308,320.0
309,355.0
310,380.0
311,385.0
312,400.0
313,380.0
314,390.0
315,420.0
316,470.0
317,465.0
318,470.0
319,465.0
320,451.025
321,461.025
322,486.025
323,516.025
324,454.475
325,454.475
326,424.475
327,424.475
328,411.55
329,411.55
330,411.55
331,396.55
332,375.425
333,400.425
334,400.425
335,385.425
336,387.525
337,387.525
338,387.525
339,367.525
340,404.4
341,414.4
342,419.4
343,414.4
344,410.825
345,415.825
346,405.825
347,395.825
348,444.7
349,439.7
350,424.7
351,409.7
352,400.0
353,395.0
354,395.0
355,405.0
356,395.0
357,395.0
358,395.0
359,395.0
360,410.0
361,400.0
362,385.0
363,390.0
364,385.0
365,370.0
366,360.0
367,365.0
368,360.0
369,355.0
370,365.0
371,350.0
372,335.0
373,340.0
374,335.0
375,335.0
376,330.0
377,325.0
378,320.0
379,310.0
380,310.0
381,315.0
382,305.0
383,310.0
384,310.0
385,305.0
386,305.0
387,305.0
388,300.0
389,310.0
390,305.0
391,305.0
392,305.0
393,305.0
394,300.0
395,305.0
396,300.0
397,310.0
398,305.0
399,310.0
400,310.0
401,305.0
402,305.0
403,315.0
404,330.0
405,345.0
406,400.0
407,405.0
408,420.0
409,415.0
410,415.0
411,440.0
412,490.0
413,460.0
414,465.0
415,460.0
416,488.6
417,483.6
418,493.6
419,498.6
420,447.175
421,422.175
422,462.175
423,442.175
424,409.075
425,419.075
426,424.075
427,429.075
428,468.25
429,453.25
430,463.25
431,458.25
432,418.075
433,418.075
434,408.075
435,418.075
436,414.35
437,379.35
438,384.35
439,384.35
440,179.875
441,119.875
442,114.875
443,114.875
444,435.775
445,435.775
446,430.775
447,445.775
448,430.0
449,430.0
450,400.0
451,410.0
452,400.0
453,395.0
454,395.0
455,405.0
456,400.0
457,390.0
458,405.0
459,385.0
460,385.0
461,375.0
462,360.0
463,370.0
464,365.0
465,350.0
466,365.0
467,355.0
468,340.0
469,340.0
470,335.0
471,330.0
472,330.0
473,320.0
474,315.0
475,305.0
476,305.0
477,310.0
478,305.0
479,305.0
480,310.0
481,300.0
482,300.0
483,300.0
484,300.0
485,305.0
486,300.0
487,305.0
488,300.0
489,305.0
490,305.0
491,305.0
492,300.0
493,305.0
494,300.0
495,320.0
496,325.0
497,310.0
498,305.0
499,310.0
500,335.0
501,350.0
502,380.0
503,385.0
504,395.0
505,415.0
506,410.0
507,415.0
508,465.0
509,455.0
510,495.0
511,485.0
512,457.325
513,452.325
514,447.325
515,457.325
516,493.65
517,503.65
518,493.65
519,498.65
520,-0.0
521,-0.0
522,-0.0
523,-0.0
524,210.5033996000034
525,317.9
526,312.9
527,317.9
528,472.975
529,447.975
530,467.975
531,492.975
532,438.475
533,413.475
534,408.475
535,408.475
536,444.525
537,444.525
538,439.525
539,429.525
540,445.0
541,435.0
542,425.0
543,415.0
544,405.0
545,415.0
546,410.0
547,410.0
548,415.0
549,410.0
550,405.0
551,405.0
552,395.0
553,390.0
554,410.0
555,390.0
556,390.0
557,390.0
558,380.0
559,370.0
560,365.0
561,360.0
562,380.0
563,355.0
564,345.0
565,340.0
566,340.0
567,330.0
568,320.0
569,320.0
570,310.0
571,310.0
572,300.0
573,310.0
574,300.0
575,305.0
576,305.0
577,300.0
578,300.0
579,300.0
580,295.0
581,305.0
582,300.0
583,300.0
584,295.0
585,300.0
586,300.0
587,300.0
588,295.0
589,300.0
590,295.0
591,305.0
592,305.0
593,305.0
594,305.0
595,315.0
596,320.0
597,345.0
598,390.0
599,395.0
600,390.0
601,410.0
602,415.0
603,455.0
604,490.0
605,475.0
606,480.0
607,495.0
608,486.0
609,491.0
610,491.0
611,546.0
612,417.05
613,392.05
614,387.05
615,402.05
616,417.65
617,407.65
618,402.65
619,422.65
620,272.225
621,237.225
622,262.225
623,267.225
624,407.625
625,392.625
626,407.625
627,392.625
628,322.125
629,322.125
630,317.125
631,312.125
632,338.825
633,353.825
634,353.825
635,348.825
636,464.625
637,454.625
638,444.625
639,429.625
640,430.0
641,425.0
642,415.0
643,420.0
644,415.0
645,410.0
646,405.0
647,415.0
648,400.0
649,400.0
650,390.0
651,395.0
652,385.0
653,390.0
654,370.0
655,380.0
656,375.0
