time;PV Erzeugung [W];PV Erzeugung [kW];G(i);H_sun;T2m;WS10m;Int
20210101:0010;0;0;0;0;1,65;1,45;0
20210101:0110;0;0;0;0;1,54;1,79;0
20210101:0210;0;0;0;0;1,57;2;0
20210101:0310;0;0;0;0;1,53;2;0
20210101:0410;0;0;0;0;1,51;1,93;0
20210101:0510;0;0;0;0;1,42;1,52;0
20210101:0610;0;0;0;0;1,41;1,52;0
20210101:0710;0;0;0;0;1,43;1,52;0
20210101:0810;0;0;5,46;3,47;1,42;1,17;0
20210101:0910;53,87;0,05387;76,04;9,5;1,63;1,66;0
20210101:1010;120,83;0,12083;150,18;13,75;2,27;1,93;0
20210101:1110;513,97;0,51397;592,26;15,86;2,89;1,93;0
20210101:1210;314,38;0,31438;362,74;15,64;3,46;2,07;0
20210101:1310;114,78;0,11478;144,48;13,12;3,88;2,14;0
20210101:1410;116,23;0,11623;146,03;8,52;3,76;1,72;0
20210101:1510;0;0;1,69;2,21;3,2;1,38;0
20210101:1610;0;0;0;0;2,38;1,59;0
20210101:1710;0;0;0;0;1,55;1,72;0
20210101:1810;0;0;0;0;0,88;1,86;0
20210101:1910;0;0;0;0;1,08;1,59;0
20210101:2010;0;0;0;0;1,13;1,52;0
20210101:2110;0;0;0;0;1,09;1,45;0
20210101:2210;0;0;0;0;0,93;1,52;0
20210101:2310;0;0;0;0;0,48;1,59;0
20210102:0010;0;0;0;0;0,79;1,52;0
20210102:0110;0;0;0;0;0,97;1,52;0
20210102:0210;0;0;0;0;0,69;1,66;0
20210102:0310;0;0;0;0;0,82;1,59;0
20210102:0410;0;0;0;0;0,54;1,59;0
20210102:0510;0;0;0;0;0,77;1,45;0
20210102:0610;0;0;0;0;0,93;1,31;0
20210102:0710;0;0;0;0;0,74;1,17;0
20210102:0810;2,56;0,00256;10,91;3,5;0,79;1,31;0
20210102:0910;46,27;0,04627;67,24;9,54;1,07;1,31;0
20210102:1010;97,73;0,09773;124,94;13,81;1,51;1,1;0
20210102:1110;134,79;0,13479;165,77;15,94;1,92;0,97;0
20210102:1210;362,86;0,36286;418,56;15,74;2,18;0,9;0
20210102:1310;329,03;0,32903;381,1;13,23;2,47;0,69;0
20210102:1410;53,17;0,05317;75,67;8,64;2,71;0,48;0
20210102:1510;0;0;1,69;2,33;2,73;0,28;0
20210102:1610;0;0;0;0;2,62;0,34;0
20210102:1710;0;0;0;0;2,54;0,21;0
20210102:1810;0;0;0;0;1,92;0,83;0
20210102:1910;0;0;0;0;1,78;1,1;0
20210102:2010;0;0;0;0;1,4;1,38;0
20210102:2110;0;0;0;0;0,98;1,72;0
20210102:2210;0;0;0;0;0,91;1,72;0
20210102:2310;0;0;0;0;0,49;1,86;0
20210103:0010;0;0;0;0;1,06;1,79;0
20210103:0110;0;0;0;0;0,51;2,14;0
20210103:0210;0;0;0;0;0,17;2,28;0
20210103:0310;0;0;0;0;-0,06;2,34;0
20210103:0410;0;0;0;0;-0,02;2,34;0
20210103:0510;0;0;0;0;0,28;2,41;0
20210103:0610;0;0;0;0;0,68;2,48;0
20210103:0710;0;0;0;0;0,28;2,34;0
20210103:0810;0;0;2,73;3,53;0,39;2,41;0
20210103:0910;21,12;0,02112;37,28;9,59;0,98;2,62;0
20210103:1010;29,1;0,0291;47,29;13,87;1,74;3,24;0
20210103:1110;13,35;0,01335;27,28;16,02;2,45;4,48;0
20210103:1210;26,75;0,02675;44,56;15,84;2,75;4,41;0
20210103:1310;16,71;0,01671;31,83;13,35;2,92;4,55;0
20210103:1410;5,77;0,00577;16,37;8,76;2,64;3,72;0
20210103:1510;0;0;1,69;2,47;2,33;3,52;0
20210103:1610;0;0;0;0;1,95;3,38;0
20210103:1710;0;0;0;0;1,8;3,24;0
20210103:1810;0;0;0;0;1,6;3,1;0
20210103:1910;0;0;0;0;1,52;2,76;0
20210103:2010;0;0;0;0;1,4;2,48;0
20210103:2110;0;0;0;0;1,27;2,41;0
20210103:2210;0;0;0;0;1,08;2,41;0
20210103:2310;0;0;0;0;0,98;2,28;0
20210104:0010;0;0;0;0;0,9;2,14;0
20210104:0110;0;0;0;0;0,82;2,14;0
20210104:0210;0;0;0;0;0,82;2,07;0
20210104:0310;0;0;0;0;0,83;2;0
20210104:0410;0;0;0;0;0,77;2,07;0
20210104:0510;0;0;0;0;0,74;2,07;0
20210104:0610;0;0;0;0;0,73;2;0
20210104:0710;0;0;0;0;0,72;1,79;0
20210104:0810;1,59;0,00159;9,09;3,57;0,78;1,86;0
20210104:0910;26,21;0,02621;43,65;9,65;0,98;1,93;0
20210104:1010;31,38;0,03138;50,02;13,95;1,42;2,34;0
20210104:1110;35,83;0,03583;55,47;16,12;2,13;3,31;0
20210104:1210;34,99;0,03499;54,56;15,95;2,6;3,45;0
20210104:1310;20,24;0,02024;36,38;13,47;2,58;3,03;0
20210104:1410;21,67;0,02167;38,19;8,9;2,5;2,55;0
20210104:1510;2,12;0,00212;10,16;2,6;2,34;2,21;0
20210104:1610;0;0;0;0;2,08;2,07;0
20210104:1710;0;0;0;0;1,87;2,07;0
20210104:1810;0;0;0;0;1,68;2,14;0
20210104:1910;0;0;0;0;1,18;2,14;0
20210104:2010;0;0;0;0;1,05;2,07;0
20210104:2110;0;0;0;0;1,03;2,07;0
20210104:2210;0;0;0;0;0,85;2,14;0
20210104:2310;0;0;0;0;0,86;2,14;0
20210105:0010;0;0;0;0;0,85;2,14;0
20210105:0110;0;0;0;0;0,83;2,07;0
20210105:0210;0;0;0;0;0,74;2,07;0
20210105:0310;0;0;0;0;0,69;1,93;0
20210105:0410;0;0;0;0;0,23;1,93;0
20210105:0510;0;0;0;0;0,04;1,93;0
20210105:0610;0;0;0;0;-0,28;2;0
20210105:0710;0;0;0;0;0,8;1,72;0
20210105:0810;2,56;0,00256;10,91;3,61;0,79;1,66;0
20210105:0910;21,13;0,02113;37,28;9,71;0,82;1,79;0
20210105:1010;28,37;0,02837;46,38;14,03;1,57;2,62;0
20210105:1110;12,7;0,0127;26,37;16,22;2;2,83;0
20210105:1210;26,77;0,02677;44,56;16,07;2,49;3,17;0
20210105:1310;34,26;0,03426;53,65;13,6;2,32;2,55;0
20210105:1410;2,05;0,00205;10;9,04;2,01;2,34;0
20210105:1510;1,69;0,00169;9,31;2,75;1,84;2,62;0
20210105:1610;0;0;0;0;1,6;2,41;0
20210105:1710;0;0;0;0;1,48;2,34;0
20210105:1810;0;0;0;0;1,29;2,41;0
20210105:1910;0;0;0;0;1,59;2,07;0
20210105:2010;0;0;0;0;1,01;2,14;0
20210105:2110;0;0;0;0;0,7;2,21;0
20210105:2210;0;0;0;0;0,82;2,28;0
20210105:2310;0;0;0;0;1,23;2,28;0
20210106:0010;0;0;0;0;1,4;2,34;0
20210106:0110;0;0;0;0;1,34;2,28;0
20210106:0210;0;0;0;0;1,34;2,41;0
20210106:0310;0;0;0;0;1,32;2,41;0
20210106:0410;0;0;0;0;1,34;2,34;0
20210106:0510;0;0;0;0;1,36;2,34;0
20210106:0610;0;0;0;0;1,28;2,41;0
20210106:0710;0;0;0;0;0,99;2,21;0
20210106:0810;19,07;0,01907;34,66;3,66;1,15;2,21;0
20210106:0910;2,54;0,00254;10,91;9,78;1,61;3,17;0
20210106:1010;211,81;0,21181;246,84;14,12;1,87;3,45;0
20210106:1110;68,84;0,06884;93,35;16,33;2,13;3,31;0
20210106:1210;8,81;0,00881;20,92;16,2;2,18;2,97;0
20210106:1310;24,61;0,02461;41,83;13,74;2,18;3,03;0
20210106:1410;8,19;0,00819;20,01;9,18;2,16;2,97;0
20210106:1510;0;0;4,23;2,9;1,85;2,34;0
20210106:1610;0;0;0;0;1,42;1,93;0
20210106:1710;0;0;0;0;1,12;1,86;0
20210106:1810;0;0;0;0;0,82;1,86;0
20210106:1910;0;0;0;0;0,19;1,93;0
20210106:2010;0;0;0;0;-0,07;2,14;0
20210106:2110;0;0;0;0;-0,17;2,07;0
20210106:2210;0;0;0;0;-0,04;2,69;0
20210106:2310;0;0;0;0;0;2,97;0
20210107:0010;0;0;0;0;-0,04;2,9;0
20210107:0110;0;0;0;0;0,14;3,24;0
20210107:0210;0;0;0;0;0,17;3,1;0
20210107:0310;0;0;0;0;0,24;3,1;0
20210107:0410;0;0;0;0;0,22;3,17;0
20210107:0510;0;0;0;0;0,24;3,1;0
20210107:0610;0;0;0;0;0,11;2,48;0
20210107:0710;0;0;0;0;0,56;2,9;0
20210107:0810;1,6;0,0016;9,09;3,72;0,62;2,69;0
20210107:0910;49,18;0,04918;70,49;9,85;0,92;2,9;0
20210107:1010;42,94;0,04294;63,66;14,21;1,26;3,24;0
20210107:1110;101,11;0,10111;128,6;16,44;1,63;3,03;0
20210107:1210;38,95;0,03895;59,11;16,33;1,82;3,24;0
20210107:1310;67,15;0,06715;91,26;13,88;1,85;3,1;0
20210107:1410;50,47;0,05047;72,17;9,33;1,77;2,97;0
20210107:1510;0,15;0,00015;5,93;3,05;1,64;3,17;0
20210107:1610;0;0;0;0;1,37;2,97;0
20210107:1710;0;0;0;0;1,17;3,24;0
20210107:1810;0;0;0;0;1,02;3,45;0
20210107:1910;0;0;0;0;0,94;3,79;0
20210107:2010;0;0;0;0;0,91;3,72;0
20210107:2110;0;0;0;0;0,81;3,86;0
20210107:2210;0;0;0;0;0,7;3,72;0
20210107:2310;0;0;0;0;0,67;3,72;0
20210108:0010;0;0;0;0;0,78;4;0
20210108:0110;0;0;0;0;0,81;3,66;0
20210108:0210;0;0;0;0;0,86;3,66;0
20210108:0310;0;0;0;0;0,82;3,45;0
20210108:0410;0;0;0;0;0,74;3,31;0
20210108:0510;0;0;0;0;0,67;3,1;0
20210108:0610;0;0;0;0;0,64;2,83;0
20210108:0710;0;0;0;0;0,55;2,69;0
20210108:0810;0;0;5,46;3,79;0,55;2,48;0
20210108:0910;76,47;0,07647;100,71;9,94;0,69;3,03;0
20210108:1010;74,22;0,07422;98,8;14,32;1,09;3,03;0
20210108:1110;65,03;0,06503;88,91;16,57;1,34;2,97;0
20210108:1210;59,29;0,05929;82,49;16,47;1,6;3,03;0
20210108:1310;65,34;0,06534;89,29;14,03;1,96;2,69;0
20210108:1410;33,56;0,03356;52,67;9,49;2,11;2,76;0
20210108:1510;31,09;0,03109;50,25;3,21;1,91;1,93;0
20210108:1610;0;0;0;0;1,39;1,66;0
20210108:1710;0;0;0;0;1,17;1,59;0
20210108:1810;0;0;0;0;1,08;1,52;0
20210108:1910;0;0;0;0;0,54;1,52;0
20210108:2010;0;0;0;0;-0,31;1,72;0
20210108:2110;0;0;0;0;-1;1,72;0
20210108:2210;0;0;0;0;-1,26;1,52;0
20210108:2310;0;0;0;0;-1,08;1,17;0
20210109:0010;0;0;0;0;-0,62;1,52;0
20210109:0110;0;0;0;0;-0,76;1,52;0
20210109:0210;0;0;0;0;-0,58;1,72;0
20210109:0310;0;0;0;0;-0,67;1,59;0
20210109:0410;0;0;0;0;-0,62;1,79;0
20210109:0510;0;0;0;0;-0,67;1,66;0
20210109:0610;0;0;0;0;-0,64;1,59;0
20210109:0710;0;0;0;0;-0,49;1,38;0
20210109:0810;12,23;0,01223;25,51;3,86;-0,33;1,72;0
20210109:0910;71,11;0,07111;94,62;10,03;-0,29;1,66;0
20210109:1010;86,35;0,08635;111,88;14,43;0,07;1,45;0
20210109:1110;106,83;0,10683;134,58;16,7;0,35;1,1;0
20210109:1210;61,8;0,0618;85,21;16,61;0,69;1,17;0
20210109:1310;33,7;0,0337;52,74;14,19;0,92;1,31;0
20210109:1410;11,43;0,01143;24,55;9,66;1,07;1,24;0
20210109:1510;16,88;0,01688;32,08;3,38;1;0,97;0
20210109:1610;0;0;0;0;0,84;0,97;0
20210109:1710;0;0;0;0;0,66;1,17;0
20210109:1810;0;0;0;0;0,46;1,1;0
20210109:1910;0;0;0;0;0,44;1,31;0
20210109:2010;0;0;0;0;0,67;1,31;0
20210109:2110;0;0;0;0;0,72;1,38;0
20210109:2210;0;0;0;0;0,59;1,24;0
20210109:2310;0;0;0;0;0,33;1,17;0
20210110:0010;0;0;0;0;0,23;1,38;0
20210110:0110;0;0;0;0;0,25;1,31;0
20210110:0210;0;0;0;0;0,32;1,31;0
20210110:0310;0;0;0;0;0,36;1,31;0
20210110:0410;0;0;0;0;0,13;1,17;0
20210110:0510;0;0;0;0;0,19;1,03;0
20210110:0610;0;0;0;0;0,08;0,9;0
20210110:0710;0;0;0;0;0,05;0,69;0
20210110:0810;4,7;0,0047;14,55;3,94;0,21;0,55;0
20210110:0910;66,09;0,06609;89,62;10,13;0,65;0,41;0
20210110:1010;45,94;0,04594;67,29;14,55;1,19;0,62;0
20210110:1110;68,68;0,06868;93,43;16,83;1,73;0,83;0
20210110:1210;52,76;0,05276;75,48;16,77;2,3;1,1;0
20210110:1310;36,5;0,0365;56,38;14,35;2,25;1,1;0
20210110:1410;131,86;0,13186;162,42;9,83;2,19;1,1;0
20210110:1510;137,73;0,13773;172,69;3,55;2,09;1,17;0
20210110:1610;0;0;0;0;1,65;1,17;0
20210110:1710;0;0;0;0;1,21;1,24;0
20210110:1810;0;0;0;0;0,43;1,38;0
20210110:1910;0;0;0;0;-0,06;1,79;0
20210110:2010;0;0;0;0;-0,38;1,79;0
20210110:2110;0;0;0;0;-0,57;1,79;0
20210110:2210;0;0;0;0;-0,02;1,93;0
20210110:2310;0;0;0;0;0,15;2;0
20210111:0010;0;0;0;0;0,09;1,86;0
20210111:0110;0;0;0;0;-0,05;1,93;0
20210111:0210;0;0;0;0;-0,02;1,93;0
20210111:0310;0;0;0;0;-0,23;1,93;0
20210111:0410;0;0;0;0;-0,25;2;0
20210111:0510;0;0;0;0;-0,19;2,14;0
20210111:0610;0;0;0;0;-0,15;2,21;0
20210111:0710;0;0;0;0;-0,49;2,21;0
20210111:0810;70,63;0,07063;94,47;4,03;-0,65;2,34;0
20210111:0910;17,65;0,01765;32,74;10,23;0,03;2,34;0
20210111:1010;34,56;0,03456;53,65;14,67;0,55;2,62;0
20210111:1110;112,27;0,11227;140,45;16,98;1,26;3,24;0
20210111:1210;42,02;0,04202;62,75;16,93;1,91;3,24;0
20210111:1310;68,21;0,06821;92,65;14,52;2,42;3,38;0
20210111:1410;8,17;0,00817;20,01;10;2,64;3,86;0
20210111:1510;0;0;2,73;3,73;2,87;4,14;0
20210111:1610;0;0;0;0;2,88;4,07;0
20210111:1710;0;0;0;0;2,99;4,34;0
20210111:1810;0;0;0;0;3,08;4,41;0
20210111:1910;0;0;0;0;3,1;4,62;0
20210111:2010;0;0;0;0;3,55;4,9;0
20210111:2110;0;0;0;0;4,05;5,03;0
20210111:2210;0;0;0;0;4,28;5,17;0
20210111:2310;0;0;0;0;4,4;5,38;0
20210112:0010;0;0;0;0;4,39;5,52;0
20210112:0110;0;0;0;0;4,48;5,66;0
20210112:0210;0;0;0;0;4,53;5,93;0
