DATE_FROM;DATE_TO;PRODUCT_TYPE;TENDER_NUMBER;PRODUCTNAME;CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AT_DEMAND_[MW];AT_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AT_IMPORT(-)_EXPORT(+)_[MW];BE_DEMAND_[MW];BE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];BE_IMPORT(-)_EXPORT(+)_[MW];CH_DEMAND_[MW];CH_SETTLEMENTCAPACITY_PRICE_[EUR/MW];CH_IMPORT(-)_EXPORT(+)_[MW];DE_DEMAND_[MW];DE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DE_IMPORT(-)_EXPORT(+)_[MW];FR_DEMAND_[MW];FR_SETTLEMENTCAPACITY_PRICE_[EUR/MW];FR_IMPORT(-)_EXPORT(+)_[MW];NL_DEMAND_[MW];NL_SETTLEMENTCAPACITY_PRICE_[EUR/MW];NL_IMPORT(-)_EXPORT(+)_[MW];SI_DEMAND_[MW];SI_SETTLEMENTCAPACITY_PRICE_[EUR/MW];SI_IMPORT(-)_EXPORT(+)_[MW];DK_DEMAND_[MW];DK_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DK_IMPORT(-)_EXPORT(+)_[MW]
01.01.2021;01.01.2021;FCR;1;NEGPOS_00_04;22,99;71,00;22,99;4,00;87,00;161,76;-60,00;67,00;22,99;15,00;562,00;22,99;38,00;508,00;22,99;73,00;114,00;22,99;-70,00;-;-;-;-;-;-
01.01.2021;01.01.2021;FCR;1;NEGPOS_04_08;19,50;71,00;19,50;4,00;87,00;158,17;-60,00;67,00;19,50;6,00;562,00;19,50;-32,00;508,00;15,40;152,00;114,00;19,50;-70,00;-;-;-;-;-;-
01.01.2021;01.01.2021;FCR;1;NEGPOS_08_12;17,10;71,00;17,10;-2,00;87,00;62,42;-60,00;67,00;17,10;16,00;562,00;17,10;10,00;508,00;17,10;106,00;114,00;17,10;-70,00;-;-;-;-;-;-
01.01.2021;01.01.2021;FCR;1;NEGPOS_12_16;20,00;71,00;20,00;9,00;87,00;55,89;-60,00;67,00;20,00;13,00;562,00;20,00;28,00;508,00;20,00;80,00;114,00;20,00;-70,00;-;-;-;-;-;-
01.01.2021;01.01.2021;FCR;1;NEGPOS_16_20;15,00;71,00;15,00;-2,00;87,00;48,21;-60,00;67,00;15,00;44,00;562,00;15,00;-19,00;508,00;15,00;107,00;114,00;15,00;-70,00;-;-;-;-;-;-
01.01.2021;01.01.2021;FCR;1;NEGPOS_20_24;20,00;71,00;20,00;0,00;87,00;90,06;-60,00;67,00;20,00;18,00;562,00;20,00;-8,00;508,00;20,00;120,00;114,00;20,00;-70,00;-;-;-;-;-;-
02.01.2021;02.01.2021;FCR;1;NEGPOS_00_04;15,40;71,00;15,40;-2,00;87,00;151,07;-60,00;67,00;15,40;-8,00;562,00;15,40;-12,00;508,00;11,36;152,00;114,00;15,40;-70,00;-;-;-;-;-;-
02.01.2021;02.01.2021;FCR;1;NEGPOS_04_08;18,40;71,00;18,40;-2,00;87,00;141,04;-60,00;67,00;18,40;12,00;562,00;18,40;16,00;508,00;18,40;104,00;114,00;18,40;-70,00;-;-;-;-;-;-
02.01.2021;02.01.2021;FCR;1;NEGPOS_08_12;20,00;71,00;20,00;-2,00;87,00;42,86;-60,00;67,00;20,00;78,00;562,00;20,00;20,00;508,00;20,00;34,00;114,00;20,00;-70,00;-;-;-;-;-;-
02.01.2021;02.01.2021;FCR;1;NEGPOS_12_16;20,00;71,00;20,00;9,00;87,00;41,38;-60,00;67,00;20,00;75,00;562,00;20,00;18,00;508,00;20,00;28,00;114,00;20,00;-70,00;-;-;-;-;-;-
