Ab-Datum;Ab-Zeit;kWh;kW;;;;;;;
01.01.2021;00:00:00;72,5;290;;;;;;;
01.01.2021;00:15:00;73,75;295;;;;;;;
01.01.2021;00:30:00;72,5;290;;;;;;;
01.01.2021;00:45:00;73,75;295;;;;;;;
01.01.2021;01:00:00;72,5;290;;;;;;;
01.01.2021;01:15:00;72,5;290;;;;;;;
01.01.2021;01:30:00;72,5;290;;;;;;;
01.01.2021;01:45:00;72,5;290;;;;;;;
01.01.2021;02:00:00;72,5;290;;;;;;;
01.01.2021;02:15:00;72,5;290;;;;;;;
01.01.2021;02:30:00;72,5;290;;;;;;;
01.01.2021;02:45:00;72,5;290;;;;;;;
01.01.2021;03:00:00;72,5;290;;;;;;;
01.01.2021;03:15:00;72,5;290;;;;;;;
01.01.2021;03:30:00;75;300;;;;;;;
01.01.2021;03:45:00;71,25;285;;;;;;;
01.01.2021;04:00:00;72,5;290;;;;;;;
01.01.2021;04:15:00;72,5;290;;;;;;;
01.01.2021;04:30:00;71,25;285;;;;;;;
01.01.2021;04:45:00;73,75;295;;;;;;;
01.01.2021;05:00:00;76,25;305;;;;;;;
01.01.2021;05:15:00;80;320;;;;;;;
01.01.2021;05:30:00;86,25;345;;;;;;;
01.01.2021;05:45:00;86,25;345;;;;;;;
01.01.2021;06:00:00;88,75;355;;;;;;;
01.01.2021;06:15:00;83,75;335;;;;;;;
01.01.2021;06:30:00;90;360;;;;;;;
01.01.2021;06:45:00;86,25;345;;;;;;;
01.01.2021;07:00:00;87,5;350;;;;;;;
01.01.2021;07:15:00;86,25;345;;;;;;;
01.01.2021;07:30:00;86,25;345;;;;;;;
01.01.2021;07:45:00;90;360;;;;;;;
01.01.2021;08:00:00;87,5;350;;;;;;;
01.01.2021;08:15:00;86,25;345;;;;;;;
01.01.2021;08:30:00;90;360;;;;;;;
01.01.2021;08:45:00;92,5;370;;;;;;;
01.01.2021;09:00:00;96,25;385;;;;;;;
01.01.2021;09:15:00;92,5;370;;;;;;;
01.01.2021;09:30:00;93,75;375;;;;;;;
01.01.2021;09:45:00;93,75;375;;;;;;;
01.01.2021;10:00:00;95;380;;;;;;;
01.01.2021;10:15:00;90;360;;;;;;;
01.01.2021;10:30:00;90;360;;;;;;;
01.01.2021;10:45:00;88,75;355;;;;;;;
01.01.2021;11:00:00;86,25;345;;;;;;;
01.01.2021;11:15:00;87,5;350;;;;;;;
01.01.2021;11:30:00;88,75;355;;;;;;;
01.01.2021;11:45:00;90;360;;;;;;;
01.01.2021;12:00:00;90;360;;;;;;;
01.01.2021;12:15:00;86,25;345;;;;;;;
01.01.2021;12:30:00;85;340;;;;;;;
01.01.2021;12:45:00;86,25;345;;;;;;;
01.01.2021;13:00:00;86,25;345;;;;;;;
01.01.2021;13:15:00;86,25;345;;;;;;;
01.01.2021;13:30:00;87,5;350;;;;;;;
01.01.2021;13:45:00;85;340;;;;;;;
01.01.2021;14:00:00;85;340;;;;;;;
01.01.2021;14:15:00;85;340;;;;;;;
01.01.2021;14:30:00;86,25;345;;;;;;;
01.01.2021;14:45:00;86,25;345;;;;;;;
01.01.2021;15:00:00;88,75;355;;;;;;;
01.01.2021;15:15:00;85;340;;;;;;;
01.01.2021;15:30:00;85;340;;;;;;;
01.01.2021;15:45:00;83,75;335;;;;;;;
01.01.2021;16:00:00;82,5;330;;;;;;;
01.01.2021;16:15:00;85;340;;;;;;;
01.01.2021;16:30:00;85;340;;;;;;;
01.01.2021;16:45:00;87,5;350;;;;;;;
01.01.2021;17:00:00;86,25;345;;;;;;;
01.01.2021;17:15:00;85;340;;;;;;;
01.01.2021;17:30:00;86,25;345;;;;;;;
01.01.2021;17:45:00;86,25;345;;;;;;;
01.01.2021;18:00:00;85;340;;;;;;;
01.01.2021;18:15:00;86,25;345;;;;;;;
01.01.2021;18:30:00;86,25;345;;;;;;;
01.01.2021;18:45:00;85;340;;;;;;;
01.01.2021;19:00:00;83,75;335;;;;;;;
01.01.2021;19:15:00;85;340;;;;;;;
01.01.2021;19:30:00;86,25;345;;;;;;;
01.01.2021;19:45:00;82,5;330;;;;;;;
01.01.2021;20:00:00;80;320;;;;;;;
01.01.2021;20:15:00;80;320;;;;;;;
01.01.2021;20:30:00;80;320;;;;;;;
01.01.2021;20:45:00;78,75;315;;;;;;;
01.01.2021;21:00:00;77,5;310;;;;;;;
01.01.2021;21:15:00;76,25;305;;;;;;;
01.01.2021;21:30:00;76,25;305;;;;;;;
01.01.2021;21:45:00;76,25;305;;;;;;;
01.01.2021;22:00:00;73,75;295;;;;;;;
01.01.2021;22:15:00;73,75;295;;;;;;;
01.01.2021;22:30:00;72,5;290;;;;;;;
01.01.2021;22:45:00;73,75;295;;;;;;;
01.01.2021;23:00:00;72,5;290;;;;;;;
01.01.2021;23:15:00;72,5;290;;;;;;;
01.01.2021;23:30:00;72,5;290;;;;;;;
01.01.2021;23:45:00;72,5;290;;;;;;;
02.01.2021;00:00:00;73,75;295;;;;;;;
02.01.2021;00:15:00;71,25;285;;;;;;;
02.01.2021;00:30:00;73,75;295;;;;;;;
02.01.2021;00:45:00;71,25;285;;;;;;;
02.01.2021;01:00:00;72,5;290;;;;;;;
02.01.2021;01:15:00;72,5;290;;;;;;;
02.01.2021;01:30:00;72,5;290;;;;;;;
02.01.2021;01:45:00;73,75;295;;;;;;;
02.01.2021;02:00:00;72,5;290;;;;;;;
02.01.2021;02:15:00;72,5;290;;;;;;;
02.01.2021;02:30:00;72,5;290;;;;;;;
02.01.2021;02:45:00;72,5;290;;;;;;;
02.01.2021;03:00:00;71,25;285;;;;;;;
02.01.2021;03:15:00;72,5;290;;;;;;;
02.01.2021;03:30:00;72,5;290;;;;;;;
02.01.2021;03:45:00;75;300;;;;;;;
02.01.2021;04:00:00;72,5;290;;;;;;;
02.01.2021;04:15:00;71,25;285;;;;;;;
02.01.2021;04:30:00;72,5;290;;;;;;;
02.01.2021;04:45:00;75;300;;;;;;;
02.01.2021;05:00:00;76,25;305;;;;;;;
02.01.2021;05:15:00;80;320;;;;;;;
02.01.2021;05:30:00;93,75;375;;;;;;;
02.01.2021;05:45:00;95;380;;;;;;;
02.01.2021;06:00:00;100;400;;;;;;;
02.01.2021;06:15:00;96,25;385;;;;;;;
02.01.2021;06:30:00;96,25;385;;;;;;;
02.01.2021;06:45:00;96,25;385;;;;;;;
02.01.2021;07:00:00;92,5;370;;;;;;;
02.01.2021;07:15:00;96,25;385;;;;;;;
02.01.2021;07:30:00;97,5;390;;;;;;;
02.01.2021;07:45:00;95;380;;;;;;;
02.01.2021;08:00:00;95;380;;;;;;;
02.01.2021;08:15:00;96,25;385;;;;;;;
02.01.2021;08:30:00;95;380;;;;;;;
02.01.2021;08:45:00;100;400;;;;;;;
02.01.2021;09:00:00;100;400;;;;;;;
02.01.2021;09:15:00;98,75;395;;;;;;;
02.01.2021;09:30:00;101,25;405;;;;;;;
02.01.2021;09:45:00;102,5;410;;;;;;;
02.01.2021;10:00:00;96,25;385;;;;;;;
02.01.2021;10:15:00;96,25;385;;;;;;;
02.01.2021;10:30:00;95;380;;;;;;;
02.01.2021;10:45:00;92,5;370;;;;;;;
02.01.2021;11:00:00;95;380;;;;;;;
02.01.2021;11:15:00;93,75;375;;;;;;;
02.01.2021;11:30:00;97,5;390;;;;;;;
02.01.2021;11:45:00;95;380;;;;;;;
02.01.2021;12:00:00;92,5;370;;;;;;;
02.01.2021;12:15:00;88,75;355;;;;;;;
02.01.2021;12:30:00;92,5;370;;;;;;;
02.01.2021;12:45:00;92,5;370;;;;;;;
02.01.2021;13:00:00;91,25;365;;;;;;;
02.01.2021;13:15:00;88,75;355;;;;;;;
02.01.2021;13:30:00;90;360;;;;;;;
02.01.2021;13:45:00;92,5;370;;;;;;;
02.01.2021;14:00:00;91,25;365;;;;;;;
02.01.2021;14:15:00;87,5;350;;;;;;;
02.01.2021;14:30:00;90;360;;;;;;;
02.01.2021;14:45:00;86,25;345;;;;;;;
02.01.2021;15:00:00;90;360;;;;;;;
02.01.2021;15:15:00;90;360;;;;;;;
