Zeitschritt,Last [kW],PV [kW],BESS [kW],SOC [kWh],Netz [kW],Infeed [kW]
16063,448,-0.0,448.0,8450.274232104122,-0.0,0.0
16064,432,-0.0,432.0,8259.236464208243,-0.0,0.0
16065,432,-0.0,432.0,8142.099804772234,-0.0,0.0
16066,456,-0.0,456.0,8018.455553145336,-0.0,0.0
16067,444,-0.0,444.0,7898.065097613883,-0.0,0.0
16068,448,-0.0,448.0,7776.590043383948,-0.0,0.0
16069,456,-0.0,456.0,7652.94579175705,-0.0,0.0
16070,428,-0.0,428.0,7536.893731019522,-0.0,0.0
16071,444,-0.0,444.0,7416.503275488069,-0.0,0.0
16072,456,-0.0,456.0,7292.859023861171,-0.0,0.0
16073,452,-0.0,452.0,7170.299370932755,-0.0,0.0
16074,440,-0.0,440.0,7050.993514099783,-0.0,0.0
16075,440,-0.0,440.0,6931.687657266812,-0.0,0.0
16076,460,-0.0,460.0,6806.958806941432,-0.0,0.0
16077,456,456.0,0.0,6806.958806941432,-0.0,0.0
16078,460,313.59725400000366,146.4027459999963,6767.2617500000015,-0.0,0.0
16079,456,456.0,0.0,6767.2617500000015,-0.0,0.0
16080,444,444.0,0.0,6767.2617500000015,-0.0,0.0
16081,432,432.0,0.0,6767.2617500000015,-0.0,0.0
16082,440,440.0,0.0,6767.2617500000015,-0.0,0.0
16083,436,436.0,0.0,6767.2617500000015,-0.0,0.0
16084,416,1489.6499999999999,-1073.6499999999999,7014.738075000001,-0.0,0.0
16085,432,1489.6499999999999,-1057.6499999999999,7258.526400000001,-0.0,0.0
16086,432,1489.6499999999999,-1057.6499999999999,7502.314725000001,-0.0,0.0
16087,424,1489.6499999999999,-1065.6499999999999,7747.947050000001,-0.0,0.0
16088,428,1085.6000000000001,-657.6000000000001,7899.5238500000005,-0.0,0.0
16089,420,1085.6000000000001,-665.6000000000001,8052.94465,-0.0,0.0
16090,412,1085.6000000000001,-673.6000000000001,8208.20945,-0.0,0.0
16091,404,1085.6000000000001,-681.6000000000001,8365.31825,-0.0,0.0
16092,408,909.375,-501.375,8480.8851875,-0.0,0.0
16093,396,909.375,-513.375,8599.218125,-0.0,0.0
16094,384,909.375,-525.375,8720.3170625,-0.0,0.0
16095,384,909.375,-525.375,8841.416000000001,-0.0,0.0
16096,380,543.0,-163.0,8878.987500000001,-0.0,0.0
16097,368,543.0,-175.0,8919.325,-0.0,0.0
16098,368,543.0,-175.0,8959.6625,-0.0,0.0
16099,368,543.0,-175.0,9000.0,-0.0,0.0
16100,368,258.875,109.125,8970.410791757049,-0.0,0.0
16101,368,258.875,109.125,8940.821583514098,-0.0,0.0
16102,380,258.875,121.125,8907.978579175704,-0.0,0.0
16103,376,258.875,117.125,8876.220173535792,-0.0,0.0
16104,368,91.17500000000001,276.825,8801.159164859002,-0.0,0.0
16105,360,91.17500000000001,268.825,8728.267353579176,-0.0,0.0
16106,356,91.17500000000001,264.825,8656.460140997831,-0.0,0.0
16107,356,91.17500000000001,264.825,8584.652928416486,-0.0,0.0
16108,356,-0.0,356.0,8488.123644251627,-0.0,0.0
16109,348,-0.0,348.0,8393.763557483731,-0.0,0.0
16110,336,-0.0,336.0,8302.65726681128,-0.0,0.0
16111,332,-0.0,332.0,8212.63557483731,-0.0,0.0
16112,328,-0.0,328.0,8123.6984815618225,-0.0,0.0
16113,312,-0.0,312.0,8039.099783080261,-0.0,0.0
16114,308,-0.0,308.0,7955.58568329718,-0.0,0.0
16115,320,-0.0,320.0,7868.817787418656,-0.0,0.0
16116,296,-0.0,296.0,7788.557483731019,-0.0,0.0
16117,296,-0.0,296.0,7708.297180043383,-0.0,0.0
16118,300,-0.0,300.0,7626.952277657267,-0.0,0.0
16119,296,-0.0,296.0,7546.691973969631,-0.0,0.0
16120,284,-0.0,284.0,7469.68546637744,-0.0,0.0
16121,288,-0.0,288.0,7391.594360086768,-0.0,0.0
16122,276,-0.0,276.0,7316.75704989154,-0.0,0.0
16123,280,-0.0,280.0,7240.835140997831,-0.0,0.0
16124,280,-0.0,280.0,7164.913232104122,-0.0,0.0
16125,284,-0.0,284.0,7087.906724511931,-0.0,0.0
16126,280,-0.0,280.0,7011.984815618222,-0.0,0.0
16127,268,-0.0,268.0,6939.316702819957,-0.0,0.0
16128,280,-0.0,280.0,6863.394793926247,-0.0,0.0
16129,272,-0.0,272.0,6789.642082429501,-0.0,0.0
16130,272,-0.0,272.0,6715.889370932755,-0.0,0.0
16131,272,-0.0,272.0,6642.136659436009,-0.0,0.0
16132,264,-0.0,264.0,6570.5531453362255,-0.0,0.0
16133,268,-0.0,268.0,6497.885032537961,-0.0,0.0
16134,272,-0.0,272.0,6424.132321041216,-0.0,0.0
16135,272,-0.0,272.0,6350.3796095444695,-0.0,0.0
16136,260,-0.0,260.0,6279.880694143168,-0.0,0.0
16137,272,-0.0,272.0,6206.1279826464215,-0.0,0.0
16138,272,-0.0,272.0,6132.375271149675,-0.0,0.0
16139,272,-0.0,272.0,6058.622559652929,-0.0,0.0
16140,260,-0.0,260.0,5988.123644251627,-0.0,0.0
16141,276,-0.0,276.0,5913.2863340564,-0.0,0.0
16142,272,-0.0,272.0,5839.533622559654,-0.0,0.0
16143,268,-0.0,268.0,5766.865509761389,-0.0,0.0
16144,296,11.25,284.75,5689.655639913233,-0.0,0.0
16145,304,11.25,292.75,5610.276572668114,-0.0,0.0
16146,344,11.25,332.75,5520.051518438178,-0.0,0.0
16147,352,11.25,340.75,5427.65726681128,-0.0,0.0
16148,352,140.2,211.8,5370.227765726682,-0.0,0.0
16149,352,140.2,211.8,5312.798264642083,-0.0,0.0
16150,384,140.2,243.8,5246.691973969632,-0.0,0.0
16151,396,140.2,255.8,5177.331887201736,-0.0,0.0
16152,388,407.425,-19.42500000000001,5181.809349701736,-0.0,0.0
16153,388,407.425,-19.42500000000001,5186.286812201736,-0.0,0.0
16154,388,407.425,-19.42500000000001,5190.764274701736,-0.0,0.0
16155,420,407.425,12.574999999999989,5187.354567543385,-0.0,0.0
16156,424,407.47499999999997,16.525000000000034,5182.873819170283,-0.0,0.0
16157,424,407.47499999999997,16.525000000000034,5178.393070797181,-0.0,0.0
16158,424,407.47499999999997,16.525000000000034,5173.912322424079,-0.0,0.0
